doc_id,title,description,consulta_1,consulta_2
16,Smart TV LED 50” TCL P615 4K UHD HDR Android com Wi-Fi e Bluetooth Integrados,"4K ANDORIDTV TV P615, SUA TV É UMA ANDROID TV, QUE USA O SISTEMA OPERACIONAL MAIS POPULAR DO MUNDO. DESFRUTE DE MÚSICAS, FILMES, GAMES E MAIS - OS ESSENCIAIS DE ENTRETENIMENTO VÊM PRÉ-INSTALADO E VOCÊ PODE BAIXAR MAIS ATRAVÉS DA GOOGLE PLAY STORE. SUA CONEXÃO SEM FIOS POSSIBILITA  QUE DISPOSITIVOS SE CONECTEM DE MANEIRA RÁPIDA , DESCOMPLICADA E SEM USO DE CABOS, BASTANDO QUE UM ESTEJA PRÓXIMO DO OUTRO. TRANSMITE (ESPELHA) O CONTEÚDO DE NOTEBOOKS E CELULARES (SMARTFONES) DIRETAMENTE NA TV, FACILITANDO SUA CONEXÃO COM APP DO SEU INTERESSE. CONTROLE REMOTO COM CONTROLE DE VOZ, GOOGLE ASSISTANT.",0,0
17,"Smart TV Tela QLED 55"" Samsung 55q60a 4K Conversor Digital  Wi-Fi integrado 2 USB 3 HDMI",,0,0
18,"Smart TV Semp Roku Led 43"" R5500 FHD Wifi Dual Band , 3 HDMI, 1 Usb, Com Controle Por Aplicativo","Sua Smart TV conta agora com a ROKU: uma plataforma de streaming com conteúdo ilimitado e muito fácil de usar!  Tenha acesso a todos os conteúdos: Youtube, Netflix, Globo Play, Disney +, Prime Video e Apple TV. Sua SEMP Roku também permite transmitir (espelhar) o conteúdo de smartphone Apple, compatível com a função Apple Airplay. A TV é compatível com a Apple Homekit e, portanto, pode ser controlada por um dispositivo inteligente compatível.  O controle em suas mãos: Com o aplicativo ROKU Mobile, disponível tanto para Android quanto iOS, você pode utilizar seu smartphone* para realizar várias ações como: trocar de canal, aumentar volume, enviar foto e ouvir o som através do próprio smartphone. Requer um smartphone compatível.  Tudo o que você quiser com a Busca em canais de streaming: Procure facilmente o que deseja como: filme, ator, diretor, etc. Fique sempre em dia: as atualizações da plataforma ROKU são feitas automaticamente. Imagens meramente ilustrativas.Todas as informações divulgadas são de responsabilidade do Fabricante/Fornecedor.Verifique com os fabricantes do produto e de seus componentes eventuais limitações à utilização de todos os recursos e funcionalidades.",0,0
19,"Smart Tv Philco 32"" Led Hd 2 Hdmi 2 Usb Wifi Dolby Audio - 32d10n5skh","Televisor com acesso aos principais App como  Netflix, Prime Vídeo,  Globoplay e Youtube. Tela de 32 polegadas em resolução HD. A TV também possui um grande desempenho de velocidade devido ao seu processador Quad Core e qualidades gráficas acentuadas pelo processador gráfico Triple Core. Esse modelo também conta com Áudio Dolby, sistema de som Dolby Digital que transmite o som do filme ou vídeo reproduzido em 5.1 canais. Além de Midiacast que garante comunicação sem fio entre dispositivos móveis.",0,0
20,"Smart TV LED 32"" Panasonic TC-32FS500B","Você merece assistir a sua programação preferida com muito mais qualidade e a  Smart TV LED 32"" Panasonic TC-32FS500B é a melhor opção.   Aproveite todas as funções da sua Smart TV, compatível com Netflix e Youtube, você pode reproduzir filmes e músicas desses aplicativos com muito mais qualidade.  Além disso, você poderá reproduzir diversos tipos de arquivos de mídia, incluindo fotos, vídeos e músicas através de um USB.  Com 32"" deixará a sua casa ou onde você quiser colocar ainda mais elegante.  Imagens meramente ilustrativas.Todas as informações divulgadas são de responsabilidade do Fabricante/Fornecedor.Verifique com os fabricantes do produto e de seus componentes eventuais limitações à utilização de todos os recursos e funcionalidades.Certas funções necessitam de conexão com a internet. Alguns aplicativos podem requerer uma assinatura para acesso, sujeito a cobrança.",0,0
21,"Samsung Smart Tv 50"" Qled 4k 50q60a, Modo Game, Som Em Movimento Virtual, Tela Sem Limites, Design Slim.",,1,0
22,"Samsung Smart TV LED 43'' Full HD LH43BETMLGGXZD com Wi-Fi, 2 HDMI, 1 USB - Preta","A Smart TV LED 43"" Samsung LH43BETMLGGXZD, equipada com a tecnologia de Business TV que permite configurar a TV tanto para o modo residencial quanto para o modo hotel, trazendo uma maior variedade de configurações e personalizações para sua TV. Além de possuir uma ótima qualidade de imagem e som, e diversas opções smart.  Especificações: Cor: Preto. Tamanho da Tela Polegadas: 43. Tipo de Tela: Tela LED. Conversor Digital: Sim. Conectividade: Wi-Fi. Ethernet. Portas USB: 1. HDMI: 2. Áudio: Potência de Saída de Audio: 10W + 10W. Tipo de Auto Falante: 2CH. Consumo de Energia: 120W. Tensão: AC100-240V 50/60Hz. Vesa: 200 x 200 mm.  Imagens meramente ilustrativas.Todas as informações divulgadas são de responsabilidade do Fabricante/Fornecedor.Verifique com os fabricantes do produto e de seus componentes eventuais limitações à utilização de todos os recursos e funcionalidades.",0,0
23,"Smart TV Tela QLED 55"" Samsung 55Q80A 4K Wi-Fi Integrado com Processador IA 2 USB 4 HDMI",,0,0
24,"Samsung Smart Tv 75"" Uhd 4k 75au7700, Processador Crystal 4k, Tela Sem Limites, Visual Livre De Cabos, Alexa Built In.",,1,0
25,"Samsung Smart Tv 55"" Qled 4k 55q70a, Modo Game, Processador Ia, Som Em Movimento Virtual, Tela Sem Limites.",,1,0
